//mob_db.txtへオーバーライド
//ID,Name,JName,LV,HP,SP,EXP,JEXP,Range1,ATK1,ATK2,DEF,MDEF,STR,AGI,VIT,INT,DEX,LUK,Range2,Range3,Scale,Race,Element,Mode,Speed,ADelay,aMotion,dMotion,Drop1id,Drop1per,Drop2id,Drop2per,Drop3id,Drop3per,Drop4id,Drop4per,Drop5id,Drop5per,Drop6id,Drop6per,Drop7id,Drop7per,Drop8id,Drop8per,Drop9id,Drop9per,DropCardid,DropCardper,MEXP,ExpPer,MVP1id,MVP1per,MVP2id,MVP2per,MVP3id,MVP3per
2674,C4_SAND_MAN,怒りのサンドマン,100,1000000000,0,0,0,6,500,1000,200,20,0,0,0,150,0,0,2,2,0,0,21,164,200,1600,600,600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,512,0,0,0,0,0,0,0,0,0,0,0

//メロン装備用MOB本鯖基準ID
20496,JT_AB_MOB_142,メロリン,190,5000000,0,0,100000000,1,13994,14496,300,400,150,200,200,300,400,48,10,12,1,0,65,165,150,1600,600,600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,512,0,0,0,0,0,0,0,0,0,0,0
21504,JT_SEASON_MOB_102,デカメロリン,200,94436845,0,74367715,59494170,1,13994,14496,163,396,144,195,192,299,422,48,10,12,1,0,65,165,150,1600,600,600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,512,0,0,0,0,0,0,0,0,0,0,0
21505,JT_SEASON_MOB_103,堕メロリン,190,94436845,0,74367715,59494170,1,13994,14496,163,396,144,195,192,299,422,48,10,12,1,0,65,165,150,1600,600,600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,512,0,0,0,0,0,0,0,0,0,0,0
21508,JT_SEASON_MOB_106,デカ堕メロリン,200,94436845,0,74367715,59494170,1,13994,14496,163,396,144,195,192,299,422,48,10,12,1,0,65,165,150,1600,600,600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,512,0,0,0,0,0,0,0,0,0,0,0


//ソニックMOB使うかわかんね
30000,ori0000,Dr?,200,25000000,0,1000000000,1000000000,6,23000,42000,500,200,289,222,350,300,950,99,12,10,2,7,20,165,170,1800,200,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,512,0,0,0,0,0,0,0,0,0,0,0
30001,ori0001,エンジェリング？,190,5000000,0,50000000,50000000,1,1250,5684,328,268,99,123,120,230,650,250,10,12,1,8,27,437,200,1072,672,672,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,512,0,0,0,0,0,0,0,0,0,0,0
30002,ori0002,サベージ？,160,2500000,0,20000000,20000000,1,2350,1258,268,82,172,198,135,58,458,80,10,12,2,2,27,149,150,1960,960,384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,512,0,0,0,0,0,0,0,0,0,0,0
30003,ori0003,スポア？,160,2500000,0,20000000,20000000,1,1982,1682,231,175,148,230,98,84,523,135,10,12,1,3,27,149,200,1872,672,288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,512,0,0,0,0,0,0,0,0,0,0,0
30004,ori0004,鉄,190,6000000,0,50000000,50000000,2,2860,1865,684,368,345,159,346,150,608,12,10,12,0,0,20,437,160,1892,723,245,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,512,0,0,0,0,0,0,0,0,0,0,0
30005,ori0005,メガリス？,160,5000000,0,20000000,20000000,7,500,1000,200,20,0,0,0,150,0,0,7,8,0,0,21,133,200,1600,600,600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,512,0,0,0,0,0,0,0,0,0,0,0
30006,ori0006,拳,190,2000000,0,50000000,50000000,1,500,1000,200,20,0,0,0,150,0,0,2,2,0,0,21,165,200,1600,600,600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,512,0,0,0,0,0,0,0,0,0,0,0
30007,ori0007,ヒートタートル？,160,3000000,0,20000000,20000000,1,500,1000,200,20,0,0,0,150,0,0,3,3,0,0,21,133,200,1600,600,600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,512,0,0,0,0,0,0,0,0,0,0,0

//1次職
30008,ori0008,セニアちゃん,90,30000,0,10000,10000,1,800,250,150,30,144,1,86,69,120,68,10,12,0,7,43,141,145,576,432,288,13499,4,748,10,23109,25,23110,1,24000,1,24032,1,2720,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30009,ori0009,ヒュッケちゃん,90,25000,0,10000,10000,1,876,144,120,70,114,1,69,42,120,55,10,12,0,7,65,133,120,576,432,288,24003,1,24036,1,13063,4,23109,25,23110,1,748,10,2721,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30010,ori0010,アルマイアちゃん,90,24000,0,10000,10000,1,800,140,130,20,123,1,85,65,120,62,10,12,0,7,62,133,120,576,432,288,24005,1,24035,1,1349,4,23109,25,23110,1,748,10,2725,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30011,ori0011,イレンドくん,90,20000,0,10000,10000,1,500,350,100,100,70,1,90,110,120,60,10,12,0,7,46,133,130,576,432,288,24004,1,24037,1,1547,4,23109,25,23110,1,748,10,2722,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30012,ori0012,イカルスくん,90,22000,0,10000,10000,9,660,130,90,50,110,1,60,50,150,50,10,12,0,7,44,133,150,576,432,288,24001,1,24034,1,1749,4,23109,25,23110,1,748,10,2724,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30013,ori0013,ラウレルくん,90,18000,0,10000,10000,1,450,430,80,90,70,1,70,130,120,60,10,12,0,7,48,133,150,576,432,288,24002,1,24033,1,1699,4,23109,25,23110,1,748,10,2723,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0

//2次職
30014,ori0014,セイレンの思い出,120,120000,0,30000,87478,1,1200,1200,124,8,144,92,86,69,150,68,10,12,1,7,43,141,145,576,432,288,24006,1,23108,4,969,10,23110,20,13498,1,23111,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30015,ori0015,ガイルの思い出,95,100000,0,30000,88153,1,1200,1200,114,66,114,91,69,42,130,55,10,12,1,7,65,133,120,576,432,288,24009,1,23108,4,969,10,23110,20,1295,1,23111,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30016,ori0016,ハワードの思い出,97,90000,0,181202,80213,1,1200,1200,119,4,123,59,85,65,150,62,10,12,1,7,62,133,120,576,432,288,24011,1,23108,4,969,10,23110,20,1348,1,23111,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30017,ori0017,マガレの思い出,93,70000,0,181675,86015,1,800,800,106,99,77,66,90,105,87,62,10,12,1,7,46,133,130,576,432,288,24010,1,23108,4,969,10,23110,20,1697,1,23111,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
